
     E I G E N V A L U E   O U T P U T

 MODE NO    EIGENVALUE                       FREQUENCY   
                                     REAL PART            IMAGINARY PART
                           (RAD/TIME)      (CYCLES/TIME     (RAD/TIME)

      1   0.2417092E+11   0.1554700E+06   0.2474382E+05   0.0000000E+00
      2   0.9543967E+11   0.3089331E+06   0.4916823E+05   0.0000000E+00
      3   0.9703723E+11   0.3115080E+06   0.4957804E+05   0.0000000E+00
      4   0.1235845E+13   0.1111686E+07   0.1769303E+06   0.0000000E+00
      5   0.1381566E+13   0.1175400E+07   0.1870708E+06   0.0000000E+00
      6   0.1575735E+13   0.1255283E+07   0.1997845E+06   0.0000000E+00
      7   0.1579256E+13   0.1256685E+07   0.2000076E+06   0.0000000E+00
      8   0.1952310E+13   0.1397251E+07   0.2223794E+06   0.0000000E+00
      9   0.2003583E+13   0.1415480E+07   0.2252806E+06   0.0000000E+00
     10   0.2078485E+13   0.1441695E+07   0.2294529E+06   0.0000000E+00

     P A R T I C I P A T I O N   F A C T O R S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1   0.4161715E-17   0.3987887E-17  -0.6049089E-04  -0.1573936E-03   0.1573625E-03  -0.2524557E-18
      2   0.1232774E-17  -0.8796546E-17  -0.1028802E-05  -0.4240590E-04  -0.2373423E-04  -0.2653554E-16
      3  -0.1644505E-17  -0.1801094E-17   0.2283955E-06  -0.2579197E-04   0.3955137E-04  -0.2775707E-17
      4   0.7253737E-18   0.7875247E-18   0.5626624E-06   0.1677084E-05  -0.2766787E-07   0.5952375E-18
      5  -0.4065986E-17  -0.4811525E-17  -0.2022863E-04  -0.4574518E-04   0.5119997E-04  -0.1614061E-17
      6  -0.2302166E-17   0.5996407E-18  -0.1710790E-05  -0.2216658E-04   0.2881845E-04   0.9110116E-17
      7  -0.8520961E-18   0.5702672E-17  -0.2652875E-05  -0.2976303E-04  -0.1105637E-04   0.1740842E-16
      8   0.1071773E-17   0.2221845E-18  -0.9704182E-06  -0.3016981E-05  -0.9946156E-05  -0.2683861E-17
      9   0.7449283E-17   0.7484841E-17   0.9784422E-06  -0.3751425E-05  -0.1227389E-04   0.2680065E-20
     10   0.3061545E-17  -0.9078603E-17  -0.1993957E-05   0.1022904E-04   0.3481808E-05  -0.3131433E-16

     E F F E C T I V E   M O D A L   M A S S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1   0.1731987E-34   0.1590324E-34   0.3659148E-08   0.2477275E-07   0.2476296E-07   0.6373390E-37
      2   0.1519731E-35   0.7737923E-34   0.1058433E-11   0.1798260E-08   0.5633139E-09   0.7041351E-33
      3   0.2704395E-35   0.3243939E-35   0.5216449E-13   0.6652259E-09   0.1564311E-08   0.7704550E-35
      4   0.5261670E-36   0.6201952E-36   0.3165889E-12   0.2812611E-11   0.7655112E-15   0.3543077E-36
      5   0.1653224E-34   0.2315077E-34   0.4091975E-09   0.2092621E-08   0.2621437E-08   0.2605193E-35
      6   0.5299970E-35   0.3595690E-36   0.2926802E-11   0.4913573E-09   0.8305033E-09   0.8299421E-34
      7   0.7260678E-36   0.3252046E-34   0.7037746E-11   0.8858381E-09   0.1222434E-09   0.3030531E-33
      8   0.1148696E-35   0.4936596E-37   0.9417115E-12   0.9102174E-11   0.9892601E-10   0.7203110E-35
      9   0.5549182E-34   0.5602284E-34   0.9573492E-12   0.1407319E-10   0.1506484E-09   0.7182749E-41
     10   0.9373060E-35   0.8242102E-34   0.3975866E-11   0.1046333E-09   0.1212299E-10   0.9805871E-33
TOTAL     0.1106420E-33   0.2916706E-33   0.4085612E-08   0.3083667E-07   0.3072647E-07   0.2088700E-32

     T O T A L   E F F E C T I V E   M A S S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

          0.4662695E-08   0.4662695E-08   0.4662695E-08   0.3661737E-07   0.3650218E-07   0.7282860E-07

