
     E I G E N V A L U E   O U T P U T

 MODE NO    EIGENVALUE                       FREQUENCY   
                                     REAL PART            IMAGINARY PART
                           (RAD/TIME)      (CYCLES/TIME     (RAD/TIME)

      1   0.6777152E+10   0.8232346E+05   0.1310219E+05   0.0000000E+00
      2   0.6777152E+10   0.8232346E+05   0.1310219E+05   0.0000000E+00
      3   0.2336916E+12   0.4834166E+06   0.7693814E+05   0.0000000E+00
      4   0.2336916E+12   0.4834166E+06   0.7693814E+05   0.0000000E+00
      5   0.3456367E+12   0.5879087E+06   0.9356858E+05   0.0000000E+00
      6   0.1049842E+13   0.1024618E+07   0.1630730E+06   0.0000000E+00
      7   0.1547777E+13   0.1244097E+07   0.1980042E+06   0.0000000E+00
      8   0.1547777E+13   0.1244097E+07   0.1980042E+06   0.0000000E+00
      9   0.3113916E+13   0.1764629E+07   0.2808494E+06   0.0000000E+00
     10   0.4904837E+13   0.2214687E+07   0.3524783E+06   0.0000000E+00

     P A R T I C I P A T I O N   F A C T O R S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1  -0.2216491E-04   0.1938042E-03  -0.2444293E-18  -0.1131186E-02  -0.1293709E-03   0.1079846E-03
      2   0.1938042E-03   0.2216491E-04   0.2697824E-18  -0.1293709E-03   0.1131186E-02  -0.8581966E-04
      3   0.1037895E-04  -0.1096947E-03   0.1944671E-17   0.1835533E-03   0.1736720E-04  -0.6003685E-04
      4  -0.1096947E-03  -0.1037895E-04   0.1047790E-17   0.1736720E-04  -0.1835533E-03   0.4965790E-04
      5   0.3550562E-17   0.1679216E-16   0.3572685E-17  -0.4804856E-16   0.5242938E-16   0.9156006E-04
      6  -0.3935661E-18   0.1653832E-17   0.2242090E-03   0.1121045E-03  -0.1121045E-03  -0.6874313E-18
      7   0.3285606E-04  -0.5682117E-04   0.2510929E-17   0.5670874E-04   0.3279105E-04  -0.4483862E-04
      8  -0.5682117E-04  -0.3285606E-04  -0.6321974E-18   0.3279105E-04  -0.5670874E-04   0.1198255E-04
      9  -0.7325136E-18   0.7208959E-17   0.4366250E-17  -0.4418525E-17  -0.7012031E-17   0.3054196E-04
     10  -0.4713206E-04  -0.7930761E-05  -0.4493885E-18   0.5370083E-05  -0.3191410E-04   0.1960065E-04

     E F F E C T I V E   M O D A L   M A S S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1   0.4912831E-09   0.3756008E-07   0.5974569E-37   0.1279581E-05   0.1673683E-07   0.1166067E-07
      2   0.3756008E-07   0.4912831E-09   0.7278254E-37   0.1673683E-07   0.1279581E-05   0.7365014E-08
